step,pop,avg_rep,avg_death,avg_mut
140,476711,0.0400183,0.0199147,0.0399971
141,476770,0.0400179,0.0199146,0.0399973
142,476572,0.0400175,0.0199141,0.0399972
143,476645,0.040018,0.0199138,0.0399971
144,476553,0.040018,0.019914,0.0399976
145,476543,0.0400177,0.0199136,0.0399977
146,476259,0.0400173,0.0199138,0.0399982
147,476172,0.0400177,0.0199135,0.0399985
148,476490,0.0400177,0.0199134,0.0399982
149,476391,0.0400176,0.0199126,0.0399981
150,476740,0.0400178,0.0199125,0.039998
151,476455,0.0400176,0.0199127,0.0399981
152,476340,0.0400179,0.0199125,0.0399984
153,476321,0.0400184,0.0199127,0.0399982
154,476541,0.0400186,0.0199132,0.0399977
155,476334,0.0400187,0.0199126,0.0399976
156,476539,0.0400179,0.0199129,0.0399973
157,476449,0.0400177,0.0199124,0.0399972
158,476125,0.0400181,0.019912,0.0399971
159,476137,0.040018,0.0199121,0.039997
160,476267,0.0400175,0.0199121,0.0399971
161,476205,0.0400174,0.0199118,0.0399972
162,476380,0.0400173,0.0199114,0.0399971
163,476357,0.0400179,0.0199113,0.0399975
164,476379,0.0400178,0.0199114,0.0399973
165,476488,0.0400177,0.0199108,0.0399976
166,476404,0.040018,0.019911,0.0399969
167,476312,0.040018,0.0199108,0.039997
168,476383,0.0400178,0.0199105,0.0399965
169,476436,0.040018,0.0199102,0.0399967
170,476538,0.040018,0.0199104,0.0399966
171,476412,0.040018,0.0199101,0.039996
172,476592,0.0400181,0.0199094,0.039996
173,476476,0.0400182,0.0199091,0.0399958
174,476595,0.0400183,0.019909,0.0399954
175,476476,0.0400182,0.019909,0.0399956
176,476402,0.0400178,0.019909,0.0399956
177,476485,0.0400181,0.0199087,0.0399959
178,476510,0.0400184,0.0199083,0.0399958
179,476660,0.0400181,0.019908,0.0399962
180,476472,0.040018,0.0199079,0.0399964
181,476213,0.040018,0.0199076,0.0399965
182,476206,0.0400178,0.0199079,0.0399967
183,476310,0.0400177,0.0199075,0.0399971
184,476181,0.0400176,0.0199078,0.0399969
185,476096,0.040018,0.0199074,0.0399971
186,476212,0.0400181,0.0199073,0.0399968
187,475967,0.0400183,0.019907,0.0399967
188,475993,0.0400188,0.0199071,0.0399968
189,475865,0.040019,0.019907,0.0399967
190,476082,0.0400186,0.0199074,0.0399967
191,476371,0.0400187,0.019907,0.0399969
192,476252,0.0400187,0.0199074,0.0399964
193,476207,0.0400187,0.0199071,0.0399965
194,476191,0.0400191,0.0199072,0.0399959
195,476069,0.0400197,0.0199076,0.0399962
196,476288,0.0400197,0.0199074,0.0399966
197,476348,0.0400197,0.0199069,0.0399962
198,476586,0.0400194,0.0199065,0.0399961
199,476503,0.0400188,0.0199059,0.0399957
200,476457,0.0400189,0.0199054,0.0399957
201,476583,0.0400192,0.0199055,0.0399959
202,476515,0.0400196,0.0199056,0.0399959
203,476521,0.0400199,0.0199056,0.0399959
204,476403,0.0400202,0.0199051,0.0399954
205,476123,0.0400199,0.0199056,0.0399955
206,475966,0.0400199,0.0199055,0.0399957
207,475796,0.0400197,0.0199059,0.0399958
208,475771,0.0400194,0.0199056,0.0399961
209,475825,0.040019,0.0199054,0.039996
210,476096,0.0400191,0.0199046,0.0399963
211,476173,0.0400195,0.0199044,0.0399961
212,476127,0.0400197,0.0199044,0.0399959
213,476219,0.0400194,0.0199045,0.0399962
